label,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63
BASELINE-EMPTY,0.463,0.947,-0.402,0.430,-0.427,-0.518,0.922,-0.146,-0.228,-0.146,-0.402,0.665,0.620,-0.045,-0.745,0.213,1.088,0.640,-0.003,-0.252,-0.536,-0.521,0.839,-0.420,-0.245,-0.761,-0.452,0.663,-0.228,-0.603,0.088,-0.728,0.039,0.080,0.164,0.014,-0.102,-0.653,-0.536,-0.596,0.805,0.724,-0.102,0.139,-0.451,-0.136,-0.203,0.139,0.063,0.279,-1.028,0.289,0.215,1.029,0.305,0.739,1.487,0.597,-0.911,-0.212,0.123,-0.112,-1.095,-0.860
BULB-100W,-0.069,-0.237,-0.437,-0.704,-0.368,0.929,0.021,0.289,0.163,0.222,-0.061,0.347,0.606,1.147,-0.228,-0.568,0.022,0.031,-0.028,-0.018,-0.386,0.238,0.196,0.507,-0.201,0.104,0.164,-0.559,-0.094,-0.318,0.654,0.048,-0.271,-0.011,-1.362,-0.686,-0.371,0.179,-0.753,-0.094,0.181,-0.119,0.448,-0.413,-0.001,0.057,0.438,0.481,-0.078,0.041,0.031,-1.061,-0.184,-0.293,-0.633,0.632,1.257,0.581,0.696,-0.152,0.779,-0.903,0.539,-0.369
BASELINE-MAINS-NOLOAD,1.024,-0.916,-0.082,-0.367,-0.442,0.674,0.382,-0.831,-0.241,0.340,0.500,0.975,-0.110,-0.882,-0.057,-0.100,0.642,0.167,0.359,-0.491,-0.132,0.284,-0.367,0.183,-0.232,-0.641,-0.076,-0.598,1.184,0.625,0.608,0.058,0.027,0.559,0.124,-0.126,-1.632,-0.192,0.308,0.184,0.192,1.100,0.283,0.343,0.167,-1.216,-0.376,-0.158,0.167,-0.448,0.018,-0.042,-0.282,0.025,0.867,-1.032,-0.291,-0.417,-0.198,-0.273,0.892,0.417,-0.848,0.424
BULB-100W,-2.825,2.176,7.542,12.459,17.284,22.934,27.509,31.684,35.550,38.860,43.244,45.884,48.947,49.501,50.709,51.676,52.184,52.692,52.700,52.449,51.419,51.392,48.634,44.457,41.216,38.059,33.444,29.507,25.310,19.975,14.409,8.290,3.859,-2.608,-7.716,-12.118,-17.684,-23.326,-26.500,-29.068,-34.908,-38.608,-42.850,-46.983,-49.040,-50.583,-51.441,-52.400,-52.243,-52.308,-51.106,-51.650,-52.208,-51.358,-49.075,-45.391,-42.458,-36.791,-34.200,-29.184,-24.176,-19.891,-16.458,-8.800
CHARGER-BARREL,2.293,5.321,8.537,11.810,13.271,13.798,14.843,14.781,15.554,13.799,16.132,16.031,14.966,10.876,9.266,6.843,4.145,2.821,-0.429,-1.978,-2.589,-4.469,-8.619,-17.229,-23.824,-25.679,-24.839,-22.207,-18.296,-13.079,-7.857,-3.847,-2.391,-4.270,-8.513,-11.214,-12.719,-13.779,-15.135,-14.274,-15.491,-14.657,-15.468,-16.364,-15.042,-11.929,-8.835,-7.141,-3.818,-2.185,0.053,1.021,2.359,4.472,8.692,15.970,23.092,26.276,25.371,22.164,18.604,13.821,7.660,3.520
CHARGER-BARREL,1.650,1.530,0.579,1.684,4.029,5.356,5.246,8.669,12.725,11.681,9.800,13.154,15.468,14.445,15.989,16.093,12.662,7.300,5.418,4.296,-1.170,-4.588,-6.345,-6.138,-6.871,-9.550,-13.876,-11.167,-9.134,-9.215,-7.162,-4.632,-0.902,-0.255,-0.064,-2.758,-4.062,-4.920,-5.998,-9.217,-12.220,-11.598,-10.630,-13.324,-15.840,-14.728,-16.291,-15.063,-11.795,-7.060,-6.691,-4.433,0.529,5.089,7.154,6.433,6.974,9.435,13.354,11.958,9.548,8.179,6.553,4.718
CHARGER-BARREL-LONG,2.251,2.177,2.148,2.006,1.794,1.406,1.239,1.803,1.748,1.637,1.374,1.202,17.716,58.484,70.241,62.110,54.478,47.027,40.638,31.789,11.502,-0.818,-2.033,-1.710,-2.249,-1.839,-1.724,-1.694,-2.286,-2.341,-2.673,-2.785,-2.399,-2.221,-2.076,-2.157,-1.884,-1.885,-1.467,-1.919,-1.743,-1.546,-1.407,-1.465,-17.361,-56.750,-69.449,-62.045,-54.669,-47.502,-40.323,-31.381,-11.131,0.836,1.603,1.351,1.886,1.703,1.791,1.759,1.977,2.312,2.526,2.417
ISOLATION-CH2-WHILE-CH1-LIVE,0.306,-1.101,-0.468,-0.337,-0.712,0.212,1.087,-0.412,0.038,-0.854,0.864,0.925,-0.442,0.277,-0.617,0.017,0.769,-0.189,0.558,-1.094,0.133,0.185,0.573,-0.271,0.319,-0.431,0.700,-0.350,-0.049,-0.213,0.053,0.895,0.078,0.825,0.448,-0.638,0.348,0.010,-0.416,-0.050,-0.072,0.399,-0.313,-0.729,-0.073,-0.426,-1.106,-0.257,0.575,-1.848,2.634,-1.741,-1.029,-0.767,-0.044,0.617,0.509,0.299,0.620,1.235,-0.327,-1.152,0.719,1.300
CHARGER-USBC-100W,-1.467,0.518,1.849,2.705,2.504,3.436,3.526,3.373,3.143,3.093,3.364,5.118,8.467,9.935,10.364,12.969,16.232,15.006,16.458,16.975,18.673,31.382,45.420,42.862,37.398,34.647,32.701,30.353,21.204,10.188,7.045,4.923,1.133,-0.875,-1.691,-2.239,-2.939,-2.758,-2.551,-3.104,-3.351,-3.432,-2.743,-5.741,-9.281,-10.009,-10.329,-13.140,-15.085,-16.326,-15.976,-17.222,-18.482,-32.364,-45.241,-42.672,-37.379,-34.238,-32.640,-30.725,-21.771,-10.347,-6.818,-4.031
RELAY3-WELDED-EVIDENCE,-0.536,-0.331,-2.395,-2.563,2.458,1.842,-0.311,2.902,3.443,1.030,1.260,-1.649,-0.118,-0.285,1.896,-0.546,1.711,0.539,-1.291,2.310,-1.010,0.327,-1.063,-2.072,-0.689,-0.247,0.287,-1.545,0.247,-0.822,-0.032,2.945,-0.197,-1.262,-0.010,-1.269,-1.773,0.942,0.644,0.304,-0.704,-0.998,0.239,0.077,1.442,1.443,-2.877,-0.590,0.481,0.583,-0.931,0.836,-2.167,-1.159,1.477,1.659,1.162,-1.915,0.670,0.922,-0.023,-1.423,-1.564,0.289
